Tanggal,No. Faktur,Kode Supplier,Nama Supplier,Produk,Jumlah,Harga Satuan,Total
2024-01-04,PO001,S001,PT Lambda,Produk A,50,180000,9000000
2024-01-08,PO002,S002,PT Mu,Produk B,30,140000,4200000
2024-01-12,PO003,S003,PT Nu,Produk C,40,90000,3600000
2024-01-18,PO004,S004,PT Xi,Produk D,25,230000,5750000
2024-01-22,PO005,S005,PT Omicron,Produk E,60,190000,11400000
2024-02-04,PO006,S006,PT Pi,Produk F,35,160000,5600000
2024-02-12,PO007,S007,PT Rho,Produk G,45,170000,7650000
2024-02-20,PO008,S008,PT Sigma,Produk H,30,150000,4500000
2024-03-06,PO009,S009,PT Tau,Produk I,55,200000,11000000
2024-03-12,PO010,S010,PT Upsilon,Produk J,25,220000,5500000
